subject,school,grade,code,content,text_count
과학,초등학교,6학년,6과12-03,"지구의 공전을 알고, 계절에 따라 달라지는 별자리를 관찰할 수 있다.",127
과학,초등학교,6학년,6과13-03,계절 변화의 원인을 지구의 자전축이 기울어진 채 공전하는 것으로 설명할 수 있다.,97
과학,초등학교,6학년,6과14-03,연소 전과 후의 물질을 비교하여 연소 과정에서 물질의 성질이 달라짐을 설명할 수 있다.,97
과학,초등학교,6학년,6과15-01,"전지와 전구, 전선을 연결하여 전구에 불을 켜보고, 불이 켜지는 전기 회로의 특징을 말할 수 있다.",135
과학,초등학교,6학년,6과15-02,전지 한 개를 연결한 전기 회로와 전지 두 개를 직렬연결한 전기 회로의 특징을 비교할 수 있다.,111
과학,초등학교,6학년,6과15-04,전기를 효율적이고 안전하게 사용하는 방법을 조사하여 실천 계획을 세우고 일상생활에서 실천할 수 있다.,81
과학,중학교,2학년,9과16-01,"재해･재난 사례와 관련된 자료를 조사하고, 그 원인과 피해에 대해 과학적으로 분석할 수 있다.",151
국어,고등학교,2학년,09-독문-01,사회적 소통 및 지식 창출 행위로서 독서의 특성을 이해한다.,25
국어,고등학교,2학년,09-독문-02,"독해의 원리, 과정, 방법을 통합적으로 이해한다.",23
국어,고등학교,2학년,09-독문-03,"언어와 사고, 언어와 사회, 언어와 문화의 관계를 탐구하고 이해한다.",32
국어,고등학교,2학년,09-독문-04,"언어가 갖는 특성인 기호성, 규칙성, 창조성, 사회성, 역사성을 탐구하고 이해한다.",47
국어,고등학교,2학년,09-독문-05,"음성, 음운의 세계를 탐구하고 올바르게 발음 생활을 한다.",28
국어,고등학교,2학년,09-독문-06,음운의 변동을 탐구하고 올바르게 발음하며 표기하는 생활을 한다.,25
국어,고등학교,2학년,09-독문-07,품사 분류를 통해서 개별 단어의 특성을 이해한다.,77
국어,고등학교,2학년,09-독문-08,단어의 형성 과정을 이해하고 새말이 만들어지는 원리를 탐구한다.,53
국어,고등학교,2학년,09-독문-09,외래어 표기법과 로마자 표기법을 이해하고 국어 생활에서 활용하도록 한다.,44
국어,고등학교,2학년,09-독문-10,단어의 의미 관계와 의미 변화의 양상을 탐구하고 이해한다.,62
국어,고등학교,2학년,09-독문-11,문장의 짜임을 탐구하여 이해하고 정확한 문장을 사용한다.,36
국어,고등학교,2학년,09-독문-12,의미 구성에 기여하는 문법 요소의 개념과 표현 효과를 탐구한다.,42
국어,고등학교,2학년,09-독문-13,담화의 개념과 특성을 이해하여 적절하고 효과적인 국어 생활을 하도록 한다.,35
국어,고등학교,2학년,09-독문-14,"담화에서 지식, 대용, 접속 표현의 기능과 효과를 이해한다.",36
국어,고등학교,2학년,09-독문-15,"글의 구성 요소를 이해하고, 글의 담화적 특성을 판단하며 읽는 능력을 기른다.",30
국어,고등학교,2학년,09-독문-16,글의 기본 구조와 전개 방식에 대한 이해를 바탕으로 사고 전개 과정의 특징을 파악하며 읽는다.,33
국어,고등학교,2학년,09-독문-17,글의 구성단위들 간의 관계를 이해하고 글의 중심 내용을 파악하며 읽는다.,41
국어,고등학교,2학년,09-독문-18,"필자의 의도나 목적, 숨겨진 주제, 생략된 내용 등을 추론하며 읽는다.",36
국어,고등학교,2학년,09-독문-19,"글의 내용이나 자료, 관점 등에 나타난 필자의 생각을 비판하며 읽는다.",24
국어,고등학교,2학년,09-독문-20,글에서 공감하거나 감동적인 부분을 찾아 그 내용을 감상하며 읽는다.,27
국어,고등학교,2학년,09-독문-21,"글의 화제나 주제, 필자의 관점 등에 대한 자기의 견해를 논리적으로 구성하여 창의적으로 문제를 해결하는 방법을 발견한다.",32
국어,고등학교,2학년,09-독문-22,동일한 화제에 대한 다양한 관점의 글을 읽고 비판적으로 재구성한다.,42
국어,고등학교,2학년,09-독문-23,시대에 따라 글쓰기의 관습이나 독서 문화가 달랐음을 알고 사회⋅문화적 맥락을 구성하며 글을 읽는다.,31
국어,고등학교,2학년,09-독문-24,지역별 문화의 특성이 글에 반영되어 있음을 이해하고 창의적으로 글을 읽는다.,32
국어,고등학교,2학년,09-독문-25,"정보화 시대의 다양한 독서 매체의 특성을 이해하고, 이를 효과적으로 활용하여 읽는다.",22
국어,고등학교,2학년,09-독문-26,국어 자료를 읽고 국어의 변천을 탐구한다.,31
국어,고등학교,2학년,09-독문-27,선인들의 삶을 통하여 국어 수난과 발전의 역사를 이해한다.,36
국어,고등학교,2학년,09-독문-28,남북한 언어의 차이점을 이해하고 동질성을 회복하는 방안을 탐구한다.,39
국어,고등학교,2학년,09-독문-29,세계 속의 한국어 위상을 이해하고 국어의 발전 방안을 모색한다.,28
국어,고등학교,2학년,09-독문-30,사회적 공동체의 독서 활동을 통하여 다른 사람과 교감하며 글을 읽고 삶을 성찰한다.,24
국어,고등학교,2학년,09-독문-31,다매체 사회에서 인터넷 등 다양한 경로를 통해 독서에 관한 정보를 얻고 활용한다.,31
국어,고등학교,2학년,09-독문-32,자신의 독서 이력을 성찰하고 독서 계획을 세워 실천한다.,27
국어,고등학교,1학년,10공국1-01-01,대화의 원리를 고려하여 대화하고 자신의 듣기ㆍ말하기 과정과 공동체의 담화 관습을 성찰한다.,124
국어,고등학교,1학년,10공국1-01-02,논제의 필수 쟁점별로 논증을 구성하고 논증이 타당한지 평가하며 토론한다.,147
국어,고등학교,2학년,10공국1-03-01,내용 전개의 일반적 원리를 고려하여 사회적 쟁점에 대한 자신의 견해를 정교하게 표현하는 글을 쓴다.,1
국어,고등학교,2학년,10공국1-04-01,언어 공동체가 다변화함에 따라 다양해진 언어 실천 양상을 분석하고 언어 주체로서 책임감을 가지며 국어생활을 한다.,7
국어,고등학교,1학년,10공국1-05-02,갈래에 따른 형상화 방법의 특성을 고려하며 작품을 수용한다.,53
국어,고등학교,1학년,10공국2-02-01,"복합양식으로 구성된 글이나 자료에 내재된 필자의 관점이나 의도, 표현 방법을 평가하며 읽는다.",112
국어,고등학교,1학년,10공국2-02-02,동일한 화제의 글이나 자료라도 서로 다른 관점과 형식으로 표현됨을 이해하며 읽기 목적을 고려하여 글이나 자료를 주제 통합적으로 읽는다.,57
국어,고등학교,2학년,10공국2-02-03,"의미 있는 사회적 독서 활동에 참여함으로써 타인과 교류하고 다양한 지식이나 정보, 삶에 대한 가치관 등을 이해하는 태도를 지닌다.",44
국어,고등학교,1학년,10공국2-03-01,언어 공동체가 공유하는 작문 관습의 특성을 이해하고 쓰기 과정과 전략을 점검하며 책임감 있게 글을 쓴다.,12
국어,고등학교,1학년,10공국2-03-02,논증 요소에 따른 분석을 바탕으로 효과적으로 내용을 조직하여 논증하는 글을 쓴다.,81
국어,고등학교,1학년,10공국2-04-01,과거 및 현재의 국어생활에 나타나는 국어의 변화를 이해하고 국어문화 발전에 참여한다.,58
국어,고등학교,2학년,10공국2-04-02,한글 맞춤법의 원리를 적용하여 국어생활을 성찰하고 문제를 해결한다.,89
국어,고등학교,1학년,10공국2-05-01,한국 문학사의 흐름을 고려하여 작품을 수용한다.,70
국어,고등학교,1학년,10공국2-05-02,주체적인 관점에서 작품을 해석하고 평가하며 문학을 생활화하는 태도를 지닌다.,10
국어,고등학교,2학년,12독작01-01,독서와 작문의 의사소통 방법과 특성을 이해하고 문어 의사소통 생활을 주도적으로 실천하고 성찰한다.,129
국어,고등학교,2학년,12독작01-02,독서의 목적과 작문의 맥락을 고려하여 가치 있는 글이나 자료를 탐색하고 선별한다.,11
국어,고등학교,2학년,12독작01-03,글에 드러난 정보를 바탕으로 글의 내용을 파악하고 글에 드러나지 않은 정보를 추론하며 읽는다.,125
국어,고등학교,2학년,12독작01-04,"글의 내용이나 관점, 표현 방법, 필자의 의도나 사회⋅문화적 이념을 평가하며 읽는다.",13
국어,고등학교,2학년,12독작01-06,"자신의 글을 분석적⋅비판적 관점으로 읽고, 내용과 형식을 효과적으로 고쳐 쓴다.",26
국어,고등학교,2학년,12독작01-08,사회적⋅역사적 현상이나 쟁점 등을 다룬 사회⋅문화 분야의 글을 읽고 사회⋅문화적 사건이나 역사적 인물에 대한 관점을 담은 글을 쓴다.,2
국어,고등학교,2학년,12화언01-15,"언어 공동체의 담화 관습을 이해하고, 다양성을 존중하는 의사소통 문화 형성에 기여하는 태도를 지닌다.",44
국어,초등학교,3학년,4국01-02,원인과 결과의 관계를 고려하여 내용을 예측하며 듣고 말한다.,90
국어,초등학교,3학년,4국03-01,"중심 문장과 뒷받침 문장을 갖추어 문단을 쓰고, 문장과 문단을 중심으로 고쳐 쓴다.",71
국어,초등학교,3학년,4국04-01,단어와 단어 간의 의미 관계를 파악한다.,116
국어,초등학교,3학년,4국05-04,"감각적 표현에 유의하여 작품을 감상하고, 감각적 표현을 활용하여 자신의 생각이나 감정을 표현한다.",139
국어,중학교,1학년,9국02-02,읽기 목적과 글의 구조를 고려하며 글을 효과적으로 요약한다.,130
국어,고등학교,1학년,9국02-07,진로나 관심 분야에 대한 다양한 책이나 자료를 스스로 찾아 읽는다.,80
국어,중학교,2학년,9국05-07,연관성이 있는 다른 작품들과의 관계를 파악하며 작품을 감상한다.,137
국어,중학교,3학년,9국05-09,문학을 통해 타자를 이해하고 공동체의 문제에 참여하는 태도를 지닌다.,113
국어,중학교,2학년,9국06-05,매체 자료의 재현 방식을 이해하고 광고나 홍보물을 분석한다.,57
기술가정,고등학교,1학년,12기가03-02,부모됨의 의미를 성찰하고 건강한 임신과 출산의 방안을 탐색하여 책임 있는 부모가 되기 위해 필요한 역량을 탐색한다.,2
기술가정,고등학교,1학년,12기가03-04,"후반기 인생 설계의 중요성과 웰다잉의 의미 탐색을 위하여 노년기의 발달 특성을 이해하며 노년기 삶의 존중 및 나이듦에 대한 긍정적 인식을 함양하고, 유니버설디자인의 배경과 맥락을 파악하여 노년기 생활에 적용할 수 있는 방안을 탐구한다.",144
기술가정,고등학교,1학년,12기가03-05,가족생활에서 발생하는 다양한 위기의 회복과 치유 방안을 탐색하고 회복탄력성을 발휘하여 성장하는 방안을 추론한다.,88
기술가정,고등학교,1학년,12기가04-05,"다양한 공학 분야를 탐색하여 공학자의 역할을 이해하고, 자신의 흥미, 적성, 능력에 맞는 공학 분야의 진로를 탐색한다.",110
기술가정,고등학교,1학년,12기가06-02,"초연결사회와 정보통신 관련 공학 문제를 공학적 문제해결 과정을 통해 해결하고, 산출물 평가를 통해 공학적 의사소통의 중요성을 인식한다.",114
기술가정,고등학교,1학년,12기가06-04,"생명공학이 인류의 식량자원 확보, 온실가스 배출감소, 생명 연장, 의공학의 발전에 기여할 수 있는 방안을 탐구하고, 생명공학과 관련된 문제를 창의적으로 해결하는 과정에서 공학의 가치를 인식한다.",89
기술가정,중학교,1학년,9기가01-04,의복디자인 요소를 고려한 자기이미지에 맞는 옷차림으로 자신을 긍정적으로 표현한다.,62
기술가정,중학교,1학년,9기가01-09,"일상생활 및 가상공간에서 만나는 또래와 건강한 관계를 형성하고, 다양한 주변인들과 친밀한 세대 간 관계를 형성하는 방안을 탐색하여 실천한다.",139
기술가정,중학교,2학년,9기가01-12,"성폭력과 가정폭력의 사회·구조적인 원인과 영향을 분석하고, 다양한 문제 상황을 중심으로 이를 대처하고 지원하는 방안을 탐색한다.",134
기술가정,중학교,1학년,9기가02-13,"책임 있는 소비자로서 소비자의 권리와 역할을 인식하고, 소비생활에서 발생하는 소비자 문제와 해결 방안을 탐색하여 소비생활에 적용한다.",120
기술가정,중학교,1학년,9기가03-03,"기술적 문제 해결 과정의 이해를 바탕으로 문제를 확인하고, 정보를 수집하며, 확산적 사고와 수렴적 사고를 통해 해결방안을 탐색하고 대안을 선정한다.",128
기술가정,중학교,1학년,9기가03-05,"발명의 개념을 이해하고, 발명 문제 해결 과정을 바탕으로 발명 활동을 체험하여 창조에 대한 자신감을 갖고 발명이 사회에 미친 영향과 가치를 인식한다.",64
기술가정,중학교,2학년,9기가03-11,에너지와 관련된 문제를 발견하고 창의적인 해결방안을 탐색하여 실현하고 평가한다.,92
도덕,중학교,2학년,9도04-01,"인간 이외의 생명체를 도덕적으로 고려해야 하는 이유를 정당화하고, 생명을 가진 존재들이 겪는 고통에 공감하며 생명을 소중히 여기는 태도를 기른다.",130
사회,초등학교,5학년,6사01-04,"우리나라 자연재해의 종류 및 대책을 탐색하고, 그와 관련된 생활 안전 수칙을 실천하는 태도를 지닌다.",147
사회,초등학교,5학년,6사01-06,우리나라의 산업구조의 변화와 교통 발달 과정에서 나타난 특징을 탐구한다.,154
사회,초등학교,5학년,6사02-03,"인권 보장 측면에서 헌법의 의미와 역할을 탐구하고, 그 중요성을 설명한다.",42
사회,초등학교,5학년,6사02-04,"헌법에서 규정하는 기본권과 의무가 일상생활에 적용된 사례를 조사하고, 권리와 의무의 조화를 추구하는 자세를 기른다.",73
사회,초등학교,5학년,6사02-05,"우리 생활 속에서 법이 적용되는 다양한 사례를 제시하고, 법의 의미와 성격을 설명한다.",49
사회,초등학교,5학년,6사02-06,"법의 역할을 권리 보호와 질서 유지의 측면에서 설명하고, 법을 준수하는 태도를 기른다.",46
사회,초등학교,5학년,6사03-06,"대표적인 유적지(행주산성, 남한산성 등)와 인물들(이순신과 곽재우, 김상헌과 최명길 등)의 활동을 통하여 임진왜란, 병자호란 등과 같은 국가적 위기의 극복 과정을 탐색한다.",106
사회,초등학교,5학년,6사04-04,"광복을 위하여 힘쓴 인물(이회영, 김구, 유관순, 신채호 등)의 활동을 파악하고, 나라를 되찾기 위한 노력을 소중히 여기는 태도를 기른다.",136
사회,초등학교,6학년,6사05-03,"일상생활에서 경험하는 민주주의 실천 사례를 탐구하여 민주주의의 의미와 중요성을 파악하고, 생활 속에서 민주주의를 실천하는 태도를 기른다.",133
사회,초등학교,6학년,6사05-04,"민주적 의사 결정 원리(다수결, 대화와 타협, 소수 의견 존중 등)의 의미와 필요성을 이해하고, 이를 실제 생활 속에서 실천하는 자세를 지닌다.",105
사회,초등학교,6학년,6사05-05,"민주정치의 기본 원리(국민 주권, 권력 분립 등)를 이해하고, 그것이 적용된 다양한 사례를 탐구한다.",116
사회,초등학교,6학년,6사05-06,"국회, 행정부, 법원의 기능을 이해하고, 그것이 국민 생활에 미치는 영향을 다양한 사례를 통해 탐구한다.",97
사회,초등학교,6학년,6사06-03,농업 중심 경제에서 공업·서비스업 중심 경제로 변화하는 모습을 중심으로 우리나라 경제성장 과정을 파악한다.,138
사회,초등학교,6학년,6사06-04,"광복 이후 경제성장 과정에서 우리 사회가 겪은 사회 변동의 특징과 다양한 문제를 살펴보고, 더 나은 사회를 만들기 위하여 해결해야 할 과제를 탐구한다.",117
사회,초등학교,6학년,6사06-05,세계 여러 나라와의 경제 교류 활동으로 나타난 우리 경제생활의 변화 모습을 탐구한다.,66
사회,초등학교,6학년,6사06-06,다양한 경제 교류 사례를 통해 우리나라 경제가 다른 나라와 상호 의존 및 경쟁 관계에 있음을 파악한다.,91
사회,초등학교,5학년,6사08-03,지구촌의 평화와 발전을 위협하는 다양한 갈등 사례를 조사하고 그 해결 방안을 탐색한다.,122
사회,초등학교,5학년,6사08-04,"지구촌의 평화와 발전을 위해 노력하는 다양한 행위 주체(개인, 국가, 국제기구, 비정부 기구 등)의 활동 사례를 조사한다.",140
사회문화,고등학교,1학년,12사문01-02,"사회현상에 대한 양적 연구 방법과 질적 연구 방법의 특징 및 연구 절차를 비교하고, 각 연구 방법을 활용한 연구 사례를 분석한다.",104
사회문화,고등학교,1학년,12사문01-03,"사회현상에 대한 다양한 자료 수집 방법의 특징을 비교하고, 각 자료 수집 방법을 활용한 연구 사례를 분석한다.",138
사회문화,고등학교,1학년,12사문02-01,"사회 구조와 개인의 관계에 대한 이해를 바탕으로 개인의 사회화 과정, 사회화 기관 및 유형을 설명하고, 사회화에 대한 서로 다른 이론적 관점을 비교한다.",145
사회문화,고등학교,1학년,12사문02-03,"일탈 행동의 발생 요인이나 특성을 설명하는 다양한 일탈 이론을 비교하고, 일탈 행동에 대한 사회 통제의 유형과 사회 통제의 필요성 및 문제점을 분석한다.",115
사회문화,고등학교,1학년,12사문03-01,"대중문화에 대한 다양한 관점을 비교하고, 일상적으로 접하는 사례를 중심으로 대중문화가 개인과 사회에 미치는 영향을 토의한다.",124
사회문화,고등학교,1학년,12사문04-01,"사회 불평등 현상을 이해하는 서로 다른 관점을 비교하고, 사회 이동과 사회 계층 구조의 유형 및 특징을 분석한다.",125
사회문화,고등학교,1학년,12사문04-03,"복지 국가의 발전 과정에 대한 이해를 바탕으로 사회 복지 제도의 유형과 특징을 비교하고, 현대 사회에서 나타나고 있는 사회 복지를 둘러싼 쟁점을 토론한다.",151
수학,고등학교,1학년,10공수1-02-03,이차방정식의 근과 계수의 관계를 설명할 수 있다.,86
수학,고등학교,1학년,10공수1-02-04,이차방정식과 이차함수를 연결하여 그 관계를 설명할 수 있다.,62
수학,고등학교,1학년,10공수1-02-06,"이차함수의 최대, 최소를 탐구하고, 이를 실생활과 연결하여 유용성을 인식할 수 있다.",138
수학,고등학교,1학년,10공수1-02-07,간단한 삼차방정식과 사차방정식을 풀 수 있다.,85
수학,고등학교,1학년,10공수1-02-08,미지수가 2개인 연립이차방정식을 풀 수 있다.,121
수학,고등학교,1학년,10공수1-02-09,미지수가 1개인 연립일차부등식을 풀 수 있다.,121
수학,고등학교,1학년,10공수1-02-10,절댓값을 포함한 일차부등식을 풀 수 있다.,60
수학,고등학교,1학년,10공수1-03-01,"합의 법칙과 곱의 법칙을 이해하고, 적절한 전략을 사용하여 경우의 수와 관련된 문제를 해결할 수 있다.",158
수학,고등학교,1학년,10공수2-01-01,"선분의 내분을 이해하고, 내분점의 좌표를 계산할 수 있다.",159
수학,고등학교,1학년,10공수2-01-02,두 직선의 평행 조건과 수직 조건을 탐구하고 이해한다.,136
수학,고등학교,1학년,10공수2-01-05,"좌표평면에서 원과 직선의 위치 관계를 판단하고, 이를 활용하여 문제를 해결할 수 있다.",150
수학,고등학교,1학년,10공수2-01-06,"평행이동을 탐구하고, 실생활과 연결하여 문제를 해결할 수 있다.",141
수학,고등학교,1학년,10공수2-02-05,명제의 역과 대우를 이해하고 설명할 수 있다.,121
수학,고등학교,1학년,10공수2-02-06,충분조건과 필요조건을 이해하고 판단할 수 있다.,86
수학,고등학교,1학년,10공수2-02-07,대우를 이용한 증명법과 귀류법을 이해하고 관련된 명제를 증명할 수 있다.,78
수학,고등학교,1학년,10공수2-02-08,"절대부등식의 뜻을 알고, 간단한 절대부등식을 증명할 수 있다.",96
수학,고등학교,1학년,10공수2-03-02,"함수의 합성을 설명하고, 합성함수를 구할 수 있다.",97
수학,초등학교,3학년,4수02-06,"원의 중심, 반지름, 지름을 알고, 그 관계를 이해한다.",110
수학,초등학교,3학년,4수02-07,컴퍼스를 이용하여 여러 가지 크기의 원을 그려서 다양한 모양을 꾸밀 수 있다.,138
수학,초등학교,3학년,4수03-18,"1L와 1mL의 관계를 이해하고, 들이를 ‘몇 L 몇 mL’와 ‘몇 mL’로 표현할 수 있다.",97
수학,초등학교,3학년,4수03-19,실생활 문제 상황과 연결하여 들이의 덧셈과 뺄셈을 할 수 있다.,154
수학,초등학교,3학년,4수03-21,"1kg과 1g의 관계를 이해하고, 무게를 ‘몇 kg 몇 g’과 ‘몇 g’으로 표현할 수 있다.",57
수학,초등학교,3학년,4수03-22,"실생활에서 무게를 나타낼 때 사용하는 단위 1t을 알고, 1t과 1kg의 관계를 이해한다.",79
수학,초등학교,3학년,4수03-23,실생활 문제 상황과 연결하여 무게의 덧셈과 뺄셈을 할 수 있다.,135
수학,초등학교,5학년,6수01-12,분수와 소수의 관계를 이해하고 크기를 비교하며 그 방법을 설명할 수 있다.,108
수학,초등학교,6학년,6수02-05,"비례배분을 알고, 주어진 양을 비례배분 할 수 있다.",125
수학,초등학교,5학년,6수04-05,사건이 일어날 가능성을 수로 나타낼 수 있다.,113
수학,중학교,1학년,9수02-03,"방정식과 그 해의 뜻을 알고, 등식의 성질을 설명할 수 있다.",121
수학,중학교,2학년,9수02-08,"지수법칙을 이해하고, 이를 이용하여 식을 간단히 할 수 있다.",158
수학,중학교,2학년,9수02-14,"함수의 개념을 이해하고, 함숫값을 구할 수 있다.",101
수학,중학교,2학년,9수02-17,일차함수와 미지수가 2개인 일차방정식의 관계를 설명할 수 있다.,154
수학,중학교,2학년,9수02-18,두 일차함수의 그래프와 연립일차방정식의 관계를 설명할 수 있다.,123
수학,중학교,1학년,9수04-04,"통계적 탐구 문제를 설정하고, 공학 도구를 이용하여 자료를 수집하여 분석하고, 그 결과를 해석할 수 있다.",118
수학,중학교,3학년,9수04-09,자료를 산점도로 나타내고 상관관계를 말할 수 있다.,134
영어,고등학교,1학년,10공영1-01-04,말이나 글에 나타난 일이나 사건의 논리적 관계를 파악한다.,103
영어,고등학교,1학년,10공영1-02-02,사실적 정보나 지식을 말이나 글로 전달한다.,61
영어,고등학교,1학년,10공영1-02-05,듣거나 읽은 내용을 요약하여 말하거나 기술한다.,83
영어,초등학교,3학년,4영01-03,"쉽고 간단한 단어, 어구, 문장을 듣고 강세, 리듬, 억양을 식별한다.",86
영어,초등학교,3학년,4영02-02,알파벳 대소문자를 구별하여 쓴다.,157
영어,초등학교,3학년,4영02-06,행동 지시를 쉽고 간단한 문장으로 말하거나 보고 쓴다.,144
영어,초등학교,6학년,6영01-06,일상생활 주제에 관한 담화나 글에서 일이나 사건의 순서를 파악한다.,24
영어,초등학교,5학년,6영02-08,예시문을 참고하여 목적에 맞는 간단한 글을 쓴다.,106
영어,중학교,1학년,9영01-09,다양한 관점을 존중하는 태도로 듣거나 읽는다.,76
영어,중학교,1학년,9영01-10,자신의 관심사에 관한 다양한 담화나 글을 선택하여 적극적으로 듣거나 읽는다.,107
정보,고등학교,1학년,12정03-06,다차원 데이터 구조를 활용한 프로그램을 작성한다.,64
정보,고등학교,1학년,12정05-02,"보호해야 할 정보와 공유해야 할 정보를 구분하고, 올바른 정보 보호 방법을 실천한다.",29
정보,고등학교,1학년,12정05-03,"정보보안의 필요성을 이해하고, 보안 기술을 활용하여 디지털 윤리를 실천한다.",42
정보,중학교,공통,9정03-05,데이터를 순차적으로 저장할 수 있는 구조를 활용하여 문제 해결 프로그램을 작성한다.,150
정보,중학교,공통,9정03-06,논리 연산과 중첩 제어 구조를 활용하여 문제를 해결하는 프로그램을 작성한다.,151
정보,고등학교,1학년,9정03-07,"프로그램 작성에서 함수를 활용하고, 프로그램 수행 결과를 디버거로 분석하여 오류를 수정한다.",89
정보,중학교,공통,9정05-03,사례를 중심으로 디지털 공간에서 함께 살아가기 위해 개인 정보 및 권리와 저작권을 보호하는 실천 방법을 탐구한다.,150
